starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   95    │       'sign_in_with_apple'       │  525  │  120   │     98     │    true    │     true     │              '3.0.0'              │     'aboutyou.com'     │
│   96    │       'flutter_rating_bar'       │  527  │  130   │     99     │    true    │    false     │              '4.0.0'              │ 'sarbagyastha.com.np'  │
│   97    │         'extended_image'         │  522  │  130   │     98     │    true    │    false     │              '4.0.1'              │  'fluttercandies.com'  │
│   98    │              'uuid'              │  520  │  130   │    100     │    true    │    false     │              '3.0.4'              │       'yuli.dev'       │
│   99    │          'smart_select'          │  518  │  100   │     96     │   false    │    false     │              '4.3.2'              │   'widgetarian.com'    │
│   100   │           'velocity_x'           │  511  │  130   │     95     │    true    │    false     │              '3.0.0'              │    'mtechviral.com'    │
│   101   │          'intro_slider'          │  504  │  120   │     97     │    true    │    false     │              '2.4.1'              │       undefined        │
│   102   │        'firebase_storage'        │  501  │  120   │     99     │    true    │    false     │              '8.0.4'              │ 'firebase.google.com'  │
│   103   │           'expandable'           │  496  │  130   │     98     │    true    │    false     │              '5.0.1'              │       undefined        │
│   104   │        'in_app_purchase'         │  492  │  110   │     97     │    true    │    false     │              '0.5.2'              │     'flutter.dev'      │
