
A total of 23/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   141   │       'flutter_downloader'       │  395  │  110   │     98     │   true   │  false   │             '1.6.0'              │ 'fluttercommunity.dev' │
│   142   │         'auto_animated'          │  395  │  130   │     93     │   true   │  false   │             '3.0.0'              │    'serge.software'    │
│   143   │    'flutter_platform_widgets'    │  391  │  110   │     96     │   true   │  false   │             '1.5.0'              │     'stryder.dev'      │
│   144   │          'workmanager'           │  390  │  100   │     95     │   true   │  false   │             '0.4.0'              │ 'fluttercommunity.dev' │
│   145   │        'background_fetch'        │  390  │  100   │     96     │  false   │  false   │    '0.7.21.0.0-nullsafety.2'     │  'transistorsoft.com'  │
│   146   │            'retrofit'            │  389  │  100   │     97     │  false   │  false   │       '1.3.4+12.0.0-beta1'       │       'mings.in'       │
│   147   │      'tutorial_coach_mark'       │  387  │  110   │     95     │   true   │  false   │             '1.0.0'              │       undefined        │
│   148   │           'timelines'            │  388  │  130   │     94     │   true   │  false   │             '0.1.0'              │     'chulwoo.dev'      │
│   149   │          'flutter_map'           │  384  │   55   │     98     │  false   │  false   │             '0.12.0'             │      'jpryan.me'       │
│   150   │       'feature_discovery'        │  383  │  120   │     93     │   true   │  false   │             '0.14.0'             │       undefined        │
│   151   │          'flutter_blue'          │  382  │  100   │     96     │   true   │  false   │             '0.8.0'              │   'pauldemarco.com'    │
│   152   │         'flutter_sound'          │  381  │  130   │     96     │   true   │  false   │             '8.1.1'              │    'dooboolab.com'     │
│   153   │          'liquid_swipe'          │  380  │  130   │     97     │   true   │  false   │             '2.1.0'              │   'sahdeepsingh.com'   │
│   154   │             'crypto'             │  376  │  130   │    100     │   true   │  false   │             '3.0.1'              │       'dart.dev'       │
│   155   │        'flutter_riverpod'        │  375  │  130   │     98     │   true   │  false   │            '0.14.0+3'            │       undefined        │
│   156   │  'syncfusion_flutter_calendar'   │  375  │  120   │     96     │   true   │  false   │            '19.1.58'             │    'syncfusion.com'    │
│   157   │      'firebase_crashlytics'      │  374  │  110   │     99     │   true   │  false   │             '2.0.2'              │ 'firebase.google.com'  │
│   158   │            'confetti'            │  372  │  110   │     95     │  false   │  false   │     '0.5.50.6.0-nullsafety'      │     'funwith.app'      │
│   159   │          'giffy_dialog'          │  372  │   90   │     94     │  false   │  false   │             '1.8.0'              │       undefined        │
│   160   │       'modal_progress_hud'       │  364  │  100   │     98     │  false   │  false   │             '0.1.3'              │       undefined        │
│   161   │           'injectable'           │  363  │  130   │     97     │   true   │  false   │             '1.3.0'              │       undefined        │
│   162   │          'avatar_glow'           │  362  │  120   │     96     │   true   │  false   │             '2.0.1'              │       undefined        │
│   163   │          'like_button'           │  361  │  130   │     96     │   true   │  false   │             '2.0.2'              │  'fluttercandies.com'  │
│   164   │        'keyboard_actions'        │  361  │  130   │     97     │   true   │  false   │             '3.4.0'              │   'diegoveloper.com'   │
│   165   │    'flutter_datetime_picker'     │  358  │  100   │     98     │   true   │  false   │             '1.5.1'              │       undefined        │
│   166   │   'infinite_scroll_pagination'   │  359  │  130   │     96     │   true   │  false   │             '3.0.1'              │    'edsonbueno.com'    │
│   167   │          'get_storage'           │  355  │  120   │     97     │   true   │  false   │             '2.0.2'              │      'getx.site'       │
│   168   │           'slimy_card'           │  355  │  100   │     91     │  false   │  false   │             '1.0.4'              │       undefined        │
│   169   │   'liquid_progress_indicator'    │  355  │  110   │     94     │  false   │  false   │             '0.3.2'              │       undefined        │
│   170   │          'flutter_tts'           │  354  │  130   │     96     │   true   │  false   │             '3.0.0'              │    'tundralabs.com'    │
│   171   │            'printing'            │  350  │  130   │     97     │   true   │  false   │             '5.2.1'              │       'nfet.net'       │
│   172   │            'sensors'             │  350  │  110   │     96     │   true   │   true   │             '2.0.0'              │     'flutter.dev'      │
│   173   │             'flash'              │  348  │  130   │     97     │   true   │  false   │             '1.5.2'              │       undefined        │
│   174   │     'flutter_signin_button'      │  346  │  130   │     97     │   true   │  false   │             '2.0.0'              │       undefined        │
│   175   │       'flutter_speed_dial'       │  345  │  130   │     97     │   true   │  false   │             '3.0.5'              │       undefined        │
