Google own a total of 25/250 top packages
│   50    │  51  │         'google_sign_in'         │ 1202  │  130   │     99     │   true   │  false   │              '5.1.0'              │     'flutter.dev'      │  true   │ true  │ false │ false │ true  │  false  │
│   51    │  52  │         'firebase_core'          │ 1197  │  120   │    100     │   true   │   true   │              '1.6.0'              │ 'firebase.google.com'  │  true   │ true  │ false │ true  │ true  │  false  │
│   52    │  53  │      'introduction_screen'       │ 1162  │  120   │     98     │   true   │  false   │              '2.1.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   53    │  54  │           'photo_view'           │ 1149  │  130   │     99     │   true   │  false   │             '0.12.0'              │    'fireslime.xyz'     │  true   │ true  │ true  │ true  │ true  │  true   │
│   54    │  55  │           'just_audio'           │ 1148  │  130   │     98     │   true   │   true   │             '0.9.10'              │    'ryanheise.com'     │  true   │ true  │ false │ true  │ true  │  false  │
│   55    │  56  │   'syncfusion_flutter_charts'    │ 1143  │  130   │     98     │   true   │  false   │             '19.2.59'             │    'syncfusion.com'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   56    │  57  │              'bloc'              │ 1142  │  130   │     99     │   true   │   true   │        '7.1.07.2.0-dev.1'         │   'bloclibrary.dev'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   57    │  58  │          'device_info'           │ 1134  │  120   │     99     │   true   │  false   │              '2.0.2'              │     'flutter.dev'      │  true   │ true  │ false │ false │ false │  false  │
│   58    │  59  │     'flutter_secure_storage'     │ 1122  │  120   │     99     │   true   │  false   │        '4.2.15.0.0-beta.5'        │       undefined        │  true   │ true  │ true  │ false │ false │  false  │
│   59    │  60  │          'video_player'          │ 1117  │  130   │     99     │   true   │  false   │             '2.1.15'              │     'flutter.dev'      │  true   │ true  │ false │ false │ true  │  false  │
│   60    │  61  │       'simple_animations'        │ 1092  │  130   │     98     │   true   │  false   │              '3.1.1'              │  'felix-blaschke.de'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   61    │  62  │             'badges'             │ 1069  │  130   │     99     │   true   │  false   │              '2.0.1'              │       'yako.io'        │  true   │ true  │ true  │ true  │ true  │  true   │
│   62    │  63  │         'table_calendar'         │ 1056  │  130   │     98     │   true   │  false   │              '3.0.2'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   63    │  64  │       'easy_localization'        │ 1048  │  130   │     98     │   true   │  false   │              '3.0.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   64    │  65  │          'audioplayers'          │ 1039  │  130   │     99     │   true   │  false   │             '0.19.1'              │    'fireslime.xyz'     │  true   │ true  │ false │ true  │ true  │  false  │
│   65    │  66  │             'lottie'             │ 1033  │  130   │     99     │   true   │  false   │              '1.1.0'              │       'xaha.dev'       │  true   │ true  │ true  │ true  │ true  │  true   │
│   66    │  67  │      'responsive_framework'      │ 1028  │  130   │     96     │   true   │  false   │              '0.1.4'              │    'codelessly.com'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   67    │  68  │            'riverpod'            │  996  │  130   │     98     │   true   │  false   │       '0.14.0+31.0.0-dev.7'       │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   68    │  69  │           'equatable'            │  991  │  130   │     99     │   true   │  false   │              '2.0.3'              │ 'fluttercommunity.dev' │  true   │ true  │ true  │ true  │ true  │  true   │
│   69    │  70  │             'logger'             │  953  │  130   │     99     │   true   │  false   │              '1.1.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   70    │  71  │         'timeline_tile'          │  945  │  120   │     97     │   true   │  false   │              '2.0.0'              │ 'juliobitencourt.com'  │  true   │ true  │ true  │ true  │ true  │  true   │
│   71    │  72  │      'flutter_form_builder'      │  943  │  120   │     97     │   true   │  false   │       '6.1.0+17.0.0-beta.0'       │  'danvickmiller.dev'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   72    │  73  │     'curved_navigation_bar'      │  925  │  130   │     97     │   true   │  false   │              '1.0.1'              │    'mobilemvp.app'     │  true   │ true  │ true  │ true  │ true  │  true   │
│   73    │  74  │           'auto_route'           │  918  │  120   │     97     │   true   │  false   │              '2.3.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   74    │  75  │          'package_info'          │  885  │  120   │     99     │   true   │  false   │              '2.0.2'              │     'flutter.dev'      │  true   │ true  │ false │ true  │ false │  false  │
│   75    │  76  │   'persistent_bottom_nav_bar'    │  881  │  130   │     97     │   true   │  false   │              '4.0.2'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   76    │  77  │   'infinite_scroll_pagination'   │  882  │  130   │     97     │   true   │   true   │              '3.1.0'              │    'edsonbueno.com'    │  true   │ true  │ true  │ true  │ true  │  true   │
│   77    │  78  │       'percent_indicator'        │  833  │  130   │     99     │   true   │  false   │     '3.0.13.3.0-nullsafety.1'     │   'diegoveloper.com'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   78    │  79  │              'pdf'               │  832  │  130   │     98     │   true   │  false   │              '3.5.0'              │       'nfet.net'       │  true   │ true  │ true  │ true  │ true  │  true   │
│   79    │  80  │         'charts_flutter'         │  830  │  120   │     98     │   true   │  false   │             '0.11.0'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   80    │  81  │  'material_floating_search_bar'  │  828  │  130   │     96     │   true   │  false   │              '0.3.4'              │       undefined        │  true   │ true  │ true  │ true  │ true  │  true   │
│   81    │  82  │       'flutter_neumorphic'       │  827  │  110   │     96     │   true   │  false   │              '3.1.0'              │       undefined        │  true   │ true  │ true  │ true  │ false │  true   │
│   82    │  83  │            'stacked'             │  819  │  120   │     97     │   true   │  false   │              '2.2.5'              │   'filledstacks.com'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   83    │  84  │          'supercharged'          │  815  │  130   │     98     │   true   │  false   │              '2.0.0'              │  'felix-blaschke.de'   │  true   │ true  │ true  │ true  │ true  │  true   │
│   84    │  85  │        'pin_code_fields'         │  809  │  130   │     99     │   true   │  false   │              '7.3.0'              │     'theadar.xyz'      │  true   │ true  │ true  │ true  │ true  │  true   │
