
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   79    │          'supercharged'          │  680  │  130   │     99     │   true   │  false   │              '2.0.0'              │  'felix-blaschke.de'   │
│   80    │         'image_cropper'          │  671  │  115   │     99     │   true   │  false   │              '1.4.0'              │      'hunghd.dev'      │
│   81    │         'flutter_hooks'          │  662  │  130   │     98     │   true   │  false   │             '0.17.0'              │  'dash-overflow.net'   │
│   82    │       'responsive_builder'       │  659  │  130   │     97     │   true   │  false   │              '0.4.1'              │   'filledstacks.com'   │
│   83    │        'pin_code_fields'         │  647  │  120   │     99     │   true   │  false   │              '7.2.0'              │     'theadar.xyz'      │
│   84    │  'flutter_staggered_animations'  │  626  │  120   │     97     │   true   │  false   │              '1.0.0'              │     'mobiten.com'      │
│   85    │       'flutter_typeahead'        │  620  │  120   │     98     │   true   │  false   │              '3.1.3'              │       undefined        │
│   86    │              'mobx'              │  615  │  130   │     98     │   true   │   true   │              '2.0.1'              │ 'dart.pixelingene.com' │
│   87    │       'flutter_neumorphic'       │  615  │  110   │     95     │   true   │  false   │              '3.1.0'              │       undefined        │
│   88    │           'local_auth'           │  614  │  120   │     98     │   true   │  false   │              '1.1.6'              │     'flutter.dev'      │
│   89    │          'flutter_html'          │  612  │  110   │     99     │   true   │  false   │              '2.0.0'              │  'sub6resources.com'   │
│   90    │       'flutter_rating_bar'       │  597  │  130   │     99     │   true   │  false   │              '4.0.0'              │ 'sarbagyastha.com.np'  │
│   91    │      'flutter_inappwebview'      │  597  │  120   │     99     │   true   │  false   │              '5.3.2'              │   'inappwebview.dev'   │
│   92    │     'smooth_page_indicator'      │  594  │  110   │     98     │  false   │  false   │     '0.2.30.3.0-nullsafety.0'     │       undefined        │
│   93    │        'in_app_purchase'         │  593  │  120   │     97     │   true   │  false   │              '1.0.4'              │     'flutter.dev'      │
│   94    │             'camera'             │  593  │  110   │     99     │   true   │  false   │             '0.8.1+2'             │     'flutter.dev'      │
│   95    │         'extended_image'         │  593  │  120   │     98     │   true   │  false   │              '4.1.0'              │  'fluttercandies.com'  │
│   96    │  'material_floating_search_bar'  │  591  │  130   │     96     │   true   │  false   │              '0.3.4'              │       undefined        │
│   97    │        'flutter_modular'         │  576  │  120   │     97     │   true   │  false   │       '3.2.2+13.3.0-beta.6'       │  'flutterando.com.br'  │
│   98    │           'qr_flutter'           │  575  │  130   │     98     │   true   │  false   │              '4.0.0'              │     'theyakka.com'     │
│   99    │           'velocity_x'           │  573  │  130   │     95     │   true   │  false   │              '3.2.0'              │    'mtechviral.com'    │
│   100   │            'timeago'             │  574  │  125   │     98     │   true   │  false   │              '3.0.2'              │       undefined        │
│   101   │          'smart_select'          │  566  │  100   │     96     │  false   │  false   │              '4.3.2'              │   'widgetarian.com'    │
│   102   │              'uuid'              │  565  │  130   │    100     │   true   │  false   │              '3.0.4'              │       'yuli.dev'       │
│   103   │       'sign_in_with_apple'       │  562  │  120   │     98     │   true   │   true   │              '3.0.0'              │     'aboutyou.com'     │
│   104   │           'getwidget'            │  560  │  130   │     96     │   true   │  false   │              '2.0.2'              │    'getwidget.dev'     │
│   105   │           'expandable'           │  555  │  130   │     98     │   true   │  false   │              '5.0.1'              │       undefined        │
│   106   │        'flutter_blurhash'        │  549  │  130   │     99     │   true   │  false   │              '0.6.0'              │ 'fluttercommunity.dev' │
│   107   │        'firebase_storage'        │  546  │  120   │     99     │   true   │   true   │              '8.1.1'              │ 'firebase.google.com'  │
